,dtype,missing_count,missing_share
k_var_disc_share_15d_g49,float64,496159,0.7221805775302061
k_var_disc_share_1m_g24,float64,363892,0.5296603200156034
k_var_disc_share_1m_g27,float64,370768,0.5396686311640411
k_var_disc_share_1m_g34,float64,384997,0.5603795472971301
k_var_disc_share_1m_g40,float64,380559,0.5539198490893398
k_var_disc_share_1m_g44,float64,383219,0.5577915924946399
k_var_disc_share_1m_g49,float64,414369,0.6031317455303925
k_var_disc_share_1m_g54,float64,388139,0.5649528622518117
k_var_disc_share_3m_g24,float64,232718,0.33873097059949436
k_var_disc_share_3m_g26,float64,239121,0.3480508100822527
k_var_disc_share_3m_g27,float64,233236,0.33948494168368437
k_var_disc_share_3m_g32,float64,211719,0.30816603083712624
k_var_disc_share_3m_g33,float64,234890,0.34189240919961167
k_var_disc_share_3m_g34,float64,235826,0.3432547971046346
k_var_disc_share_3m_g38,float64,234865,0.34185602063377235
k_var_disc_share_3m_g40,float64,244082,0.35527175708740094
k_var_disc_share_3m_g41,float64,244733,0.356219315341856
k_var_disc_share_3m_g44,float64,244230,0.35548717739716956
k_var_disc_share_3m_g46,float64,245348,0.3571144740615025
k_var_disc_share_3m_g48,float64,260957,0.37983403902892016
k_var_disc_share_3m_g49,float64,256289,0.3730395660154084
k_var_disc_share_3m_g54,float64,249663,0.36339514052536354
k_var_disc_share_6m_g24,float64,142881,0.20796938702733073
k_var_disc_share_6m_g27,float64,144444,0.210244400163603
k_var_disc_share_6m_g32,float64,138673,0.20184446362526182
k_var_disc_share_6m_g34,float64,141492,0.2059476383092999
k_var_disc_share_6m_g44,float64,155940,0.22697731827914105
k_var_disc_share_6m_g46,float64,162458,0.23646454516476015
k_var_disc_share_6m_g49,float64,158898,0.23128281338924558
k_var_disc_share_6m_g54,float64,157298,0.22895394517553116
k_var_discount_depth_15d,float64,140453,0.2044353295130191
k_var_discount_depth_1m,float64,140368,0.2043116083891655
k_var_sku_per_cheque_15d,float64,136693,0.19896248921079024
k_var_sku_price_12m_g32,float64,132611,0.19302096418055134
k_var_sku_price_15d_g34,float64,468551,0.681995956502564
k_var_sku_price_15d_g49,float64,496259,0.7223261317935633
k_var_sku_price_1m_g24,float64,363954,0.5297505636588848
k_var_sku_price_1m_g26,float64,372621,0.5423657516640491
k_var_sku_price_1m_g27,float64,370841,0.5397748857762918
k_var_sku_price_1m_g34,float64,385078,0.5604974462504494
k_var_sku_price_1m_g40,float64,380641,0.5540392035852926
k_var_sku_price_1m_g44,float64,383315,0.5579313245874629
k_var_sku_price_1m_g49,float64,414473,0.6032831219642839
k_var_sku_price_1m_g54,float64,388217,0.5650663945772304
k_var_sku_price_3m_g24,float64,232790,0.3388357696691115
k_var_sku_price_3m_g26,float64,239196,0.3481599757797706
k_var_sku_price_3m_g27,float64,233316,0.3396013850943701
k_var_sku_price_3m_g32,float64,211784,0.30826064110830836
k_var_sku_price_3m_g33,float64,234958,0.3419913860986945
k_var_sku_price_3m_g34,float64,235889,0.3433464962905496
k_var_sku_price_3m_g40,float64,244166,0.35539402266862097
k_var_sku_price_3m_g41,float64,244817,0.35634158092307605
k_var_sku_price_3m_g44,float64,244318,0.35561526514892383
k_var_sku_price_3m_g46,float64,245436,0.3572425618132568
k_var_sku_price_3m_g48,float64,261034,0.3799461158117052
k_var_sku_price_3m_g49,float64,256361,0.3731443650850255
k_var_sku_price_3m_g54,float64,249739,0.36350576176551497
k_var_sku_price_6m_g24,float64,143052,0.20821828481767146
k_var_sku_price_6m_g26,float64,154337,0.22464408343752593
k_var_sku_price_6m_g27,float64,144616,0.21049475349657729
k_var_sku_price_6m_g32,float64,138801,0.20203077308235898
k_var_sku_price_6m_g41,float64,161239,0.23469023869443648
k_var_sku_price_6m_g42,float64,163392,0.23782402198451594
k_var_sku_price_6m_g44,float64,156127,0.22724950475161892
k_var_sku_price_6m_g48,float64,173762,0.25291799909465246
k_var_sku_price_6m_g49,float64,159066,0.23152734455168558
main_format,int64,0,0.0
mean_discount_depth_15d,float64,0,0.0
months_from_register,float64,8581,0.012490011338677116
perdelta_days_between_visits_15_30d,float64,0,0.0
promo_share_15d,float64,0,0.0
response_sms,float64,8581,0.012490011338677116
response_viber,float64,8581,0.012490011338677116
sale_count_12m_g32,float64,0,0.0
sale_count_12m_g33,float64,0,0.0
sale_count_12m_g49,float64,0,0.0
sale_count_12m_g54,float64,0,0.0
sale_count_12m_g57,float64,0,0.0
sale_count_3m_g24,float64,94064,0.1369141622842704
sale_count_3m_g33,float64,94064,0.1369141622842704
sale_count_3m_g57,float64,94064,0.1369141622842704
sale_count_6m_g24,float64,3115,0.00453401530357525
sale_count_6m_g25,float64,3116,0.004535470846208821
sale_count_6m_g32,float64,3115,0.00453401530357525
sale_count_6m_g33,float64,3115,0.00453401530357525
sale_count_6m_g44,float64,3115,0.00453401530357525
sale_count_6m_g54,float64,3115,0.00453401530357525
sale_count_6m_g57,float64,3115,0.00453401530357525
sale_sum_12m_g24,float64,0,0.0
sale_sum_12m_g25,float64,0,0.0
sale_sum_12m_g26,float64,0,0.0
sale_sum_12m_g27,float64,0,0.0
sale_sum_12m_g32,float64,0,0.0
sale_sum_12m_g44,float64,0,0.0
sale_sum_12m_g54,float64,0,0.0
sale_sum_3m_g24,float64,94064,0.1369141622842704
sale_sum_3m_g26,float64,94064,0.1369141622842704
sale_sum_3m_g32,float64,94064,0.1369141622842704
sale_sum_3m_g33,float64,94064,0.1369141622842704
sale_sum_6m_g24,float64,3115,0.00453401530357525
sale_sum_6m_g25,float64,3115,0.00453401530357525
sale_sum_6m_g26,float64,3115,0.00453401530357525
sale_sum_6m_g32,float64,3115,0.00453401530357525
sale_sum_6m_g33,float64,3115,0.00453401530357525
sale_sum_6m_g44,float64,3115,0.00453401530357525
sale_sum_6m_g54,float64,3115,0.00453401530357525
stdev_days_between_visits_15d,float64,76954,0.11200982782386187
stdev_discount_depth_15d,float64,140453,0.2044353295130191
stdev_discount_depth_1m,float64,140368,0.2043116083891655
